Gene	Gene_name	Length
ENSG00000152785	BMP3	26924
ENSG00000138669	PRKG2	127747
ENSG00000251059	AC139722.1	28473
ENSG00000250826	HNRNPA3P13	1121
ENSG00000202485	RNU6-499P	106
ENSG00000138670	RASGEF1B	617851
ENSG00000248282	MTCYBP44	822
ENSG00000248448	COX5BP1	392
ENSG00000252762	AC021863.1	126
ENSG00000248543	NPM1P41	2430
ENSG00000248113	AC067942.2	1267
ENSG00000284516	VAMP9P	55042
ENSG00000273156	AC124016.2	1966
ENSG00000138668	HNRNPD	22005
ENSG00000272677	AC124016.1	9726
ENSG00000250325	IGBP1P4	878
ENSG00000202440	SNORD42	68
ENSG00000152795	HNRNPDL	7844
ENSG00000145293	ENOPH1	30587
ENSG00000249242	TMEM150C	79187
ENSG00000214988	RPL7AP26	812
ENSG00000227304	AC067942.1	1492
ENSG00000249960	AC067942.3	677
ENSG00000250057	AC114781.2	13701
ENSG00000250677	AC114781.3	141
ENSG00000248401	AC114781.1	1027
ENSG00000173085	COQ2	23378
ENSG00000173083	HPSE	42692
ENSG00000138678	GPAT3	69961
ENSG00000163312	HELQ	48512
ENSG00000163319	MRPS18C	13803
ENSG00000163322	ABRAXAS1	63831
ENSG00000213608	SLC25A14P1	900
ENSG00000239525	RPL30P5	335
ENSG00000250546	AC079160.1	502753
ENSG00000200108	RNU6-774P	106
ENSG00000214980	AC025538.1	1485
ENSG00000145284	SCD5	169257
ENSG00000270480	AC073413.1	731
ENSG00000207746	MIR575	93
ENSG00000270842	AC073413.2	640
ENSG00000138674	SEC31A	82657
ENSG00000251022	THAP9-AS1	7951
ENSG00000168152	THAP9	19285
ENSG00000189308	LIN54	102953
ENSG00000199530	Y_RNA	107
ENSG00000251874	RNU6-615P	105
ENSG00000138663	COPS4	41371
ENSG00000286035	AC073840.1	9643
ENSG00000145287	PLAC8	47027
ENSG00000163623	NKX6-1	6463
ENSG00000258013	RPL3P13	215
ENSG00000163624	CDS1	68207
ENSG00000163625	WDFY3	296781
ENSG00000239466	RN7SL552P	275
ENSG00000251260	WDFY3-AS1	13789
ENSG00000252062	RNU6-469P	100
ENSG00000180769	WDFY3-AS2	45743
ENSG00000286189	AC108021.1	550
ENSG00000250572	AC108516.1	4891
ENSG00000263981	MIR5705	88
ENSG00000170509	HSD17B13	19097
ENSG00000255723	AC108516.2	28040
ENSG00000198189	HSD17B11	54673
ENSG00000240966	RN7SL681P	291
ENSG00000272856	AC112250.2	1473
ENSG00000170502	NUDT9	36882
ENSG00000152583	SPARCL1	57726
ENSG00000152595	MEPE	25406
ENSG00000183199	HSP90AB3P	2172
ENSG00000138639	ARHGAP24	527518
ENSG00000266421	MIR4451	65
ENSG00000109339	MAPK10	604618
ENSG00000250062	AC104827.1	102014
ENSG00000252757	RN7SKP96	296
ENSG00000266515	MIR4452	70
ENSG00000163629	PTPN13	220856
ENSG00000145283	SLC10A6	25916
ENSG00000243312	AC093827.1	1213
ENSG00000163633	C4orf36	16217
ENSG00000250202	AC093827.2	314
ENSG00000285458	AC093827.5	49706
ENSG00000251411	AC093827.3	1551
ENSG00000284968	AC093827.4	11572
ENSG00000172493	AFF1	206052
ENSG00000235043	TECRP1	444
ENSG00000145332	KLHL8	80211
ENSG00000248196	AC092658.1	890
ENSG00000248180	GAPDHP60	994
ENSG00000286618	AC131944.1	34092
ENSG00000118785	SPP1	7776
ENSG00000202000	RNU1-36P	164
ENSG00000118762	PKD2	70142
ENSG00000118777	ABCG2	141478
ENSG00000241853	AC097484.1	388
ENSG00000201707	RNU6-818P	107
ENSG00000221440	RNU6ATAC31P	125
ENSG00000251285	AC097484.2	3268
ENSG00000199326	RNU6-1298P	100
ENSG00000163644	PPM1K	27149
ENSG00000200469	RNU6-112P	103
ENSG00000246375	PPM1K-DT	46914
ENSG00000207480	Y_RNA	102
ENSG00000287181	AC107067.2	6201
ENSG00000286978	AC107067.1	2359
ENSG00000138642	HERC6	64372
ENSG00000138646	HERC5	49044
ENSG00000185477	GPRIN3	71417
ENSG00000138722	MMRN1	75097
ENSG00000251095	AC093866.1	315792
ENSG00000145335	SNCA	114216
ENSG00000274238	AC097478.1	513
ENSG00000277695	AC097478.3	8051
ENSG00000276542	AC097478.2	871
ENSG00000247775	SNCA-AS1	5570
ENSG00000145337	PYURF	2778
ENSG00000255072	PIGY	216
ENSG00000287542	AC098582.1	184640
ENSG00000285122	PIGY-DT	1157
ENSG00000249755	AC083829.1	1010
ENSG00000252322	RN7SKP244	306
ENSG00000138641	HERC3	116107
ENSG00000207524	RNU6-33P	106
ENSG00000177432	NAP1L5	1916
ENSG00000248019	FAM13A-AS1	20805
ENSG00000278151	AC108065.2	118
ENSG00000276003	AC108065.1	107
ENSG00000138640	FAM13A	385443
ENSG00000180346	TIGD2	3399
ENSG00000270720	AC104785.1	587
ENSG00000248817	PMPCAP1	1575
ENSG00000287392	AC097520.2	82081
ENSG00000280056	AC097520.1	384
ENSG00000184305	CCSER1	1474378
ENSG00000252087	RN7SKP248	304
ENSG00000251401	AC093729.1	127
ENSG00000187653	TMSB4XP8	134
ENSG00000248984	AC004054.1	4767
ENSG00000249049	AC074124.1	6272
ENSG00000279013	AC110774.1	2017
ENSG00000163106	HPGDS	44341
ENSG00000287552	AC109925.2	27555
ENSG00000248511	AC112695.1	6927
ENSG00000152208	GRID2	1506191
ENSG00000251449	MTND1P19	314
ENSG00000249239	AC095059.2	932
ENSG00000248627	AC095059.1	5157
ENSG00000248750	AC020699.1	444
ENSG00000250908	AC110800.1	1163
ENSG00000252342	RNA5SP164	109
ENSG00000172238	ATOH1	2213
ENSG00000246541	AC096746.1	89764
ENSG00000250897	HMGB3P15	573
ENSG00000163104	SMARCAD1	83681
ENSG00000138696	BMPR1B	400493
ENSG00000182168	UNC5C	386702
ENSG00000271474	AC106881.1	3328
ENSG00000163110	PDLIM5	216370
ENSG00000249951	AC108067.1	27325
ENSG00000163116	STPG2	959383
ENSG00000254044	AC034154.1	299188
ENSG00000251620	STPG2-AS1	125218
ENSG00000250293	CRYZP2	1048
ENSG00000242697	RPL5P12	850
ENSG00000214904	DUTP8	488
ENSG00000260641	AC114811.2	5646
ENSG00000168785	TSPAN5	188244
ENSG00000251523	AC108159.1	13571
ENSG00000214559	AC019077.1	9942
ENSG00000138698	RAP1GDS1	182477
ENSG00000242318	AC058823.1	473
ENSG00000151247	EIF4E	58953
ENSG00000249055	TBCAP3	311
ENSG00000263923	AC019131.1	66097
ENSG00000214886	FAM177A1P1	785
ENSG00000287512	AC019131.3	3707
ENSG00000252548	RNU7-149P	58
ENSG00000251437	NDUFS5P4	317
ENSG00000196344	ADH7	23476
ENSG00000145331	TRMT10A	17330
ENSG00000138823	MTTP	60238
ENSG00000248676	AC083902.1	31114
ENSG00000070190	DAPP1	53363
ENSG00000279913	AP001962.1	558
ENSG00000109270	LAMTOR3	16092
ENSG00000164024	METAP1	67150
ENSG00000265213	MIR3684	73
ENSG00000250496	ABT1P1	820
ENSG00000272777	AC019131.2	869
ENSG00000197894	ADH5	17823
ENSG00000246090	AP002026.1	212551
ENSG00000198099	ADH4	34135
ENSG00000249065	PCNAP1	1131
ENSG00000172955	ADH6	16899
ENSG00000187758	ADH1A	14634
ENSG00000196616	ADH1B	47789
ENSG00000248144	ADH1C	16249
ENSG00000164031	DNAJB14	50370
ENSG00000279098	AC097460.3	441
ENSG00000164032	H2AFZ	2269
ENSG00000245322	AC097460.1	245093
ENSG00000250403	AC097460.2	740
ENSG00000248820	DYNLL1P6	263
ENSG00000145358	DDIT4L	4912
ENSG00000249710	AP001961.1	25472
ENSG00000164035	EMCN	484785
ENSG00000286150	AC097459.1	52806
ENSG00000250223	LINC01216	14834
ENSG00000251219	LINC01217	12844
ENSG00000251636	LINC01218	2025
ENSG00000138814	PPP3CA	324869
ENSG00000273882	MIR8066	77
ENSG00000221265	MIR1255A	112
ENSG00000254531	AP001816.1	1103
ENSG00000138821	SLC39A8	180217
ENSG00000241144	RN7SL728P	299
ENSG00000248161	AC098487.1	31408
ENSG00000251572	AF213884.2	902
ENSG00000153064	BANK1	663526
ENSG00000286124	AC084277.1	9028
ENSG00000199529	RNU6-462P	104
ENSG00000251149	MTND5P5	375
ENSG00000251309	AP002075.1	60009
ENSG00000260651	AF213884.3	478
ENSG00000109320	NFKB1	115971
ENSG00000109323	MANBA	130224
ENSG00000241981	AF213884.1	462
ENSG00000230069	LRRC37A15P	3447
ENSG00000248971	KRT8P46	1425
ENSG00000224207	AC018797.1	254
ENSG00000251288	AC018797.2	1240
ENSG00000138778	CENPE	93096
ENSG00000248740	LINC02428	198845
ENSG00000249614	LINC02503	75927
ENSG00000251577	AC105460.2	75789
ENSG00000250920	AC105460.1	8691
ENSG00000251571	DDX3P3	1993
ENSG00000169836	TACR3	133954
ENSG00000251259	AC004069.1	3339
ENSG00000109332	UBE2D3	74513
ENSG00000286242	AC018797.3	5629
ENSG00000246560	UBE2D3-AS1	16020
ENSG00000252739	RNU7-151P	52
ENSG00000145354	CISD2	23833
ENSG00000164037	SLC9B1	134671
ENSG00000250651	PABPC1P7	1512
ENSG00000249283	ACTR3BP4	1371
ENSG00000164038	SLC9B2	65961
ENSG00000164039	BDH2	22278
ENSG00000168772	CXXC4	26593
ENSG00000245384	CXXC4-AS1	243697
ENSG00000250670	AC004063.1	11917
ENSG00000248242	AC004053.1	312919
ENSG00000244470	AC105918.1	837
ENSG00000248373	AC096577.1	219875
ENSG00000251906	RNU6-351P	99
ENSG00000276992	AC096577.2	152
ENSG00000251473	AC004069.2	1113
ENSG00000252136	AC004069.3	107
ENSG00000168769	TET2	133941
ENSG00000251586	TET2-AS1	6709
ENSG00000243383	RN7SL89P	282
ENSG00000138777	PPA2	104990
ENSG00000200917	RNU6-553P	95
ENSG00000249264	EEF1A1P9	1382
ENSG00000236699	ARHGEF38	155473
ENSG00000249885	ARHGEF38-IT1	8647
ENSG00000248778	AC105391.1	1044
ENSG00000138785	INTS12	213359
ENSG00000138780	GSTCD	138950
ENSG00000251175	AC008243.1	80927
ENSG00000168743	NPNT	109252
ENSG00000250740	AC109361.2	5662
ENSG00000249635	AC109361.1	19161
ENSG00000286147	AC092445.1	413239
ENSG00000248915	ACTR6P1	1103
ENSG00000155011	DKK2	362004
ENSG00000213522	RAC1P5	575
ENSG00000251081	AC104663.1	43170
ENSG00000145348	TBCK	279896
ENSG00000164022	AIMP1	33912
ENSG00000250298	GIMD1	11340
ENSG00000138801	PAPSS1	129958
ENSG00000164023	SGMS2	90484
ENSG00000245293	AC096564.1	126206
ENSG00000222691	RNU6-733P	103
ENSG00000155016	CYP2U1	21912
ENSG00000249604	AC096564.2	5224
ENSG00000138796	HADH	45461
ENSG00000138795	LEF1	121411
ENSG00000232021	LEF1-AS1	90512
ENSG00000188517	COL25A1	494027
ENSG00000234492	RPL34-AS1	82270
ENSG00000109475	RPL34	9846
ENSG00000198856	OSTC	17235
ENSG00000206601	RNU6-431P	106
ENSG00000286136	AC107071.1	8925
ENSG00000249465	RBMXP4	1133
ENSG00000247950	SEC24B-AS1	86342
ENSG00000138802	SEC24B	107124
ENSG00000243227	RN7SL55P	296
ENSG00000207988	MIR576	97
ENSG00000225094	SETP20	851
ENSG00000249965	CDC42P4	562
ENSG00000005059	MCUB	128510
ENSG00000248785	HIGD1AP14	281
ENSG00000138794	CASP6	14961
ENSG00000273447	AC004067.1	699
ENSG00000123739	PLA2G12A	20081
ENSG00000285330	AC126283.2	88083
ENSG00000205403	CFI	61485
ENSG00000272795	AC126283.1	363
ENSG00000109534	GAR1	9230
ENSG00000180245	RRH	21151
ENSG00000183423	LRIT3	24208
ENSG00000164093	PITX2	24700
ENSG00000138792	ENPEP	199552
ENSG00000251464	RPL7L1P13	738
ENSG00000251046	ZNF969P	2606
ENSG00000199894	AC093872.1	79
ENSG00000250511	AC098798.1	7017
ENSG00000138798	EGF	100883
ENSG00000207260	RNU6-35P	106
ENSG00000170522	ELOVL6	153353
ENSG00000263940	RN7SL275P	334
ENSG00000248200	AC093770.1	874
ENSG00000166530	HSBP1P2	228
ENSG00000260526	AC109347.1	2035
ENSG00000138660	AP1AR	41370
ENSG00000272567	AC109347.2	348
ENSG00000250855	AC139718.2	37085
ENSG00000248432	AC139718.1	5276
ENSG00000249815	AC004704.1	245817
ENSG00000250556	CCDC34P1	516
ENSG00000250307	TUBB8P3	802
ENSG00000240459	AC093663.1	393
ENSG00000174749	FAM241A	49802
ENSG00000243280	AC093663.2	312
ENSG00000145365	TIFA	11367
ENSG00000073331	ALPK1	157112
ENSG00000251441	RTEL1P1	14824
ENSG00000248697	TOX4P1	1861
ENSG00000241002	AC017007.3	434
ENSG00000202536	Y_RNA	101
ENSG00000241741	RPL7AP30	795
ENSG00000250500	AC017007.4	1641
ENSG00000178403	NEUROG2	2664
ENSG00000249509	AC023886.1	31496
ENSG00000248439	RPL23AP94	301
ENSG00000138658	ZGRF1	97662
ENSG00000250966	AC023886.2	410
ENSG00000174720	LARP7	20485
ENSG00000249532	MIR302CHG	3575
ENSG00000199169	MIR367	67
ENSG00000199145	MIR302D	67
ENSG00000207927	MIR302A	68
ENSG00000199102	MIR302C	67
ENSG00000284463	MIR302B	72
ENSG00000220924	OSTCP4	448
ENSG00000145362	ANK2	566189
ENSG00000234841	AC017007.2	1300
ENSG00000251126	AC017007.5	2032
ENSG00000228814	AC017007.1	414
ENSG00000248152	AC093879.1	98690
ENSG00000249373	AC093879.2	3264
ENSG00000283193	MIR1243	92
ENSG00000275810	MIR8082	80
ENSG00000196656	AC004057.1	3124
ENSG00000180801	ARSJ	79443
ENSG00000249304	AC104779.1	1064
ENSG00000250215	CIR1P2	1341
ENSG00000213493	ACTN4P1	1450
ENSG00000174599	TRAM1L1	2022
ENSG00000174607	UGT8	79455
ENSG00000207931	MIR577	95
ENSG00000239279	RN7SL184P	296
ENSG00000206820	RNU1-138P	163
ENSG00000145349	CAMK2D	310895
ENSG00000240637	RN7SL808P	298
ENSG00000138653	NDST4	286113
ENSG00000251308	MRPS33P3	321
ENSG00000224932	LINC02262	46058
ENSG00000228358	LINC02263	52116
ENSG00000236922	LINC01378	285022
ENSG00000237684	RPSAP35	817
ENSG00000213492	NT5C3AP1	1662
ENSG00000286269	AC092661.1	8480
ENSG00000164100	NDST3	225016
ENSG00000251463	FKBP4P1	1346
ENSG00000269893	SNHG8	6607
ENSG00000275994	SNORA24	130
ENSG00000164099	PRSS12	72965
ENSG00000150961	SEC24D	115860
ENSG00000273716	AC092670.1	77
ENSG00000154608	CEP170P1	86510
ENSG00000260404	AC110079.1	41956
ENSG00000223225	RNU6-1054P	103
ENSG00000248213	CICP16	2812
ENSG00000251155	SEPTIN14P4	185
ENSG00000281731	METTL14-DT	21256
ENSG00000145388	METTL14	30041
ENSG00000172403	SYNPO2	210559
ENSG00000249002	AC096745.1	369
ENSG00000164109	MAD2L1	11235
ENSG00000249409	AC025741.1	11706
ENSG00000173376	NDNF	37408
ENSG00000223006	RN7SKP137	306
ENSG00000250344	AC105254.1	9047
ENSG00000050730	TNIP3	96058
ENSG00000252183	RNU6-948P	106
ENSG00000250938	AC073475.1	497831
ENSG00000250219	LTV1P1	1236
ENSG00000225665	SAR1AP3	591
ENSG00000138738	PRDM5	237951
ENSG00000212359	RNU6-550P	100
ENSG00000251609	SETP12	1589
ENSG00000172399	MYOZ2	52005
ENSG00000178636	AC092656.1	19871
ENSG00000145390	USP53	82930
ENSG00000164096	C4orf3	8026
ENSG00000145384	FABP2	4888
ENSG00000250412	KLHL2P1	43904
ENSG00000201186	RNU4-33P	84
ENSG00000249244	AC110373.1	3504
ENSG00000283050	GTF2IP12	49115
ENSG00000260091	AC093752.3	900
ENSG00000223208	RNU6-1217P	103
ENSG00000245958	AC093752.1	97234
ENSG00000250950	AC093752.2	927
ENSG00000138735	PDE5A	134407
ENSG00000221245	AC080089.1	126
ENSG00000186867	QRFPR	52417
ENSG00000207148	Y_RNA	101
ENSG00000213480	AC093816.1	912
ENSG00000164111	ANXA5	29049
ENSG00000138741	TRPC3	77579
ENSG00000123737	EXOSC9	15704
ENSG00000145386	CCNA2	7489
ENSG00000138686	BBS7	46158
ENSG00000181004	BBS12	12240
ENSG00000138684	IL21	10958
ENSG00000227145	IL21-AS1	70173
ENSG00000138685	FGF2	71528
ENSG00000240775	AC021205.1	347
ENSG00000273007	AC021205.3	6027
ENSG00000170917	NUDT6	34271
ENSG00000138688	KIAA1109	210425
ENSG00000164113	ADAD1	50836
ENSG00000286734	AC133530.1	14074
ENSG00000145375	SPATA5	396355
ENSG00000250322	AC026402.1	169
ENSG00000287951	AC026402.2	1971
ENSG00000164056	SPRY1	6965
ENSG00000248506	AC097474.1	1370
ENSG00000248565	TECRP2	927
ENSG00000249125	AC093821.1	31864
ENSG00000251526	LINC02435	22246
ENSG00000249464	LINC01091	423672
ENSG00000226655	AC096732.1	750
ENSG00000228489	RPL21P50	476
ENSG00000250458	AC093767.1	155
ENSG00000261083	LINC02516	58505
ENSG00000196159	FAT4	176533
ENSG00000201297	Y_RNA	110
ENSG00000151458	ANKRD50	48684
ENSG00000287021	AC097462.3	90975
ENSG00000164066	INTU	103466
ENSG00000142731	PLK4	18331
ENSG00000251821	RNU6-583P	91
ENSG00000164070	HSPA4L	58912
ENSG00000282855	AC093591.3	307
ENSG00000244021	AC093591.1	480
ENSG00000261668	AC093591.2	3842
ENSG00000164073	MFSD8	48302
ENSG00000164074	ABHD18	74621
ENSG00000138709	LARP1B	161645
ENSG00000241651	AC099340.1	598
ENSG00000248394	FOSL1P1	815
ENSG00000164040	PGRMC2	19592
ENSG00000251432	LINC02615	226647
ENSG00000273077	AC110609.1	826
ENSG00000248187	AC078850.1	2559
ENSG00000248802	AC078850.2	18408
ENSG00000184139	RPL7AP28	570
ENSG00000251676	SNHG27	63905
ENSG00000252014	SNORA70	109
ENSG00000249416	AC107393.1	345
ENSG00000251555	AC096711.2	45921
ENSG00000077684	JADE1	65524
ENSG00000151466	SCLT1	228679
ENSG00000275647	AC093783.1	328
ENSG00000281369	AC093826.2	111
ENSG00000151470	C4orf33	23323
ENSG00000251598	AC093916.1	367136
ENSG00000249463	AC096711.1	1259
ENSG00000241411	AC104619.1	630
ENSG00000250241	AC105383.1	73836
ENSG00000248735	R3HDM2P1	1959
ENSG00000138650	PCDH10	59312
ENSG00000250834	KRT18P54	747
ENSG00000250144	AC104619.3	1386
ENSG00000248434	AC107463.1	30425
ENSG00000189184	PCDH18	13576
ENSG00000251199	AC015631.1	301312
ENSG00000286253	AC096763.1	28038
ENSG00000254535	PABPC4L	5456
ENSG00000248191	PES1P1	1735
ENSG00000249091	AC093903.1	4669
ENSG00000287144	AC097511.1	108266
ENSG00000248307	LINC00616	152635
ENSG00000250033	SLC7A11-AS1	120713
ENSG00000151012	SLC7A11	78252
ENSG00000250501	AC093766.1	30030
ENSG00000248397	LINC00498	13802
ENSG00000251372	LINC00499	353790
ENSG00000249381	LINC00500	11346
ENSG00000248305	AC105416.1	841
ENSG00000248795	AC098859.1	1237
ENSG00000250195	AC109927.1	192692
ENSG00000250577	AC109927.2	302
ENSG00000151014	NOCT	30158
ENSG00000109381	ELF2	149106
ENSG00000252503	RNU6-531P	103
ENSG00000240723	RN7SL382P	281
ENSG00000179967	PPP1R14BP3	444
ENSG00000276396	Metazoa_SRP	291
ENSG00000153130	SCOC	128440
ENSG00000196951	SCOC-AS1	89679
ENSG00000249754	NDUFB4P9	387
ENSG00000241923	RPL14P3	621
ENSG00000153132	CLGN	39208
ENSG00000205301	MGAT4D	56115
ENSG00000109424	UCP1	9530
ENSG00000287449	AC108019.2	1812
ENSG00000242102	RN7SL152P	297
ENSG00000179387	ELMOD2	29602
ENSG00000273472	AC096733.2	1393
ENSG00000109436	TBC1D9	135603
ENSG00000249661	TNRC18P1	3649
ENSG00000207155	RNY1P14	107
ENSG00000248335	AC096733.1	3913
ENSG00000137463	MGARP	14060
ENSG00000109390	NDUFC1	35671
ENSG00000164134	NAA15	118528
ENSG00000200520	RNU6-1214P	108
ENSG00000273247	AC097376.3	42107
ENSG00000248863	AC097376.2	4585
ENSG00000239005	AC097376.1	126
ENSG00000172007	RAB33B	23377
ENSG00000145391	SETD7	110758
ENSG00000249302	FTH1P24	461
ENSG00000272717	AC112236.2	844
ENSG00000286896	AC112236.3	11570
ENSG00000261268	AC112236.1	5096
ENSG00000085871	MGST2	74977
ENSG00000201533	RN7SKP237	300
ENSG00000178458	H3F3AP6	410
ENSG00000196782	MAML3	437431
ENSG00000286320	AC108053.1	7311
ENSG00000252233	RN7SKP253	308
ENSG00000250698	AC131182.1	6550
ENSG00000170153	RNF150	353070
ENSG00000109445	ZNF330	13810
ENSG00000164136	IL15	97404
ENSG00000250326	AC104596.1	251666
ENSG00000251300	AC104596.2	792
ENSG00000170185	USP38	38957
ENSG00000109452	INPP4B	824272
ENSG00000242134	RPL5P13	708
ENSG00000250835	LSM3P4	308
ENSG00000251248	AC139720.2	4537
ENSG00000249806	AC139720.1	94931
ENSG00000250969	AC097658.2	43565
ENSG00000200049	Y_RNA	100
ENSG00000109458	GAB1	137806
ENSG00000265623	MIR3139	75
ENSG00000228981	AC097658.1	842
ENSG00000286771	AC097658.3	4279
ENSG00000243175	RPSAP36	1260
ENSG00000245112	SMARCA5-AS1	1163
ENSG00000153147	SMARCA5	43784
ENSG00000248924	AC139713.1	501
ENSG00000251333	RTN3P1	710
ENSG00000278943	AC079228.1	1048
ENSG00000170365	SMAD1	77982
ENSG00000250582	SMAD1-AS2	5898
ENSG00000250902	SMAD1-AS1	2503
ENSG00000151611	MMAA	60991
ENSG00000249245	NCOA4P3	1876
ENSG00000248356	AC093864.1	8288
ENSG00000251600	AC107223.1	784293
ENSG00000236296	GUSBP5	1988
ENSG00000183090	FREM3	123373
ENSG00000250345	AC104090.1	1694
ENSG00000197465	GYPE	34699
ENSG00000249741	AC093890.1	539
ENSG00000250361	GYPB	23241
ENSG00000286055	AC093890.2	2361
ENSG00000170180	GYPA	31448
ENSG00000285783	AC098588.3	759914
ENSG00000285713	AC098588.2	887473
ENSG00000261129	AC106871.1	3101
ENSG00000250504	KRT18P51	745
ENSG00000248890	HHIP-AS1	18435
ENSG00000164161	HHIP	99115
ENSG00000273621	AC098588.1	179
ENSG00000164162	ANAPC10	266633
ENSG00000249193	HSPD1P5	1719
ENSG00000250406	AC109811.1	23215
ENSG00000251452	AC109811.2	451
ENSG00000222594	RN7SKP235	304
ENSG00000164163	ABCE1	31236
ENSG00000164164	OTUD4	69751
ENSG00000238713	Y_RNA	112
ENSG00000164167	LSM6	24297
ENSG00000279845	AC097372.2	465
ENSG00000279376	AC092435.4	4158
ENSG00000241281	AC010683.1	377
ENSG00000251010	AC097372.1	1863
ENSG00000120519	SLC10A7	267989
ENSG00000278438	MIR7849	105
ENSG00000237136	C4orf51	90917
ENSG00000151612	ZNF827	181196
ENSG00000279481	AC104791.2	2524
ENSG00000251687	AC104791.1	6462
ENSG00000201314	Y_RNA	112
ENSG00000137473	TTC29	239244
ENSG00000248764	AC092435.2	11470
ENSG00000151617	EDNRA	64037
ENSG00000280219	AC093908.1	8091
ENSG00000251254	GTF2F2P1	674
ENSG00000287292	AC002460.2	578921
ENSG00000251418	ASS1P8	646
ENSG00000201846	RNA5SP166	101
ENSG00000250357	AC108935.1	1291
ENSG00000225176	ATP5MGP4	306
ENSG00000279016	AC093648.1	605
ENSG00000249317	AC002460.1	1474
ENSG00000239168	RNU7-197P	61
ENSG00000234828	IQCM	544330
ENSG00000287565	AC108168.1	2850
ENSG00000250905	AC093893.1	45092
ENSG00000251482	AKIRIN2P1	351
ENSG00000202331	RNA5SP167	115
ENSG00000251688	LINC02507	26983
ENSG00000251298	AC093835.1	7693
ENSG00000164168	TMEM184C	54658
ENSG00000164169	PRMT9	46378
ENSG00000071205	ARHGAP10	340713
ENSG00000252951	RNA5SP165	114
ENSG00000264274	MIR4799	73
ENSG00000240014	RN7SL254P	283
ENSG00000270387	AC115621.1	857
ENSG00000151623	NR3C2	365936
ENSG00000250354	AC069272.1	62409
ENSG00000286066	AC097375.4	42587
ENSG00000251249	AC097375.3	13390
ENSG00000253077	RNA5SP169	116
ENSG00000286720	AC097375.5	56749
ENSG00000245954	LINC02273	14261
ENSG00000287504	AC079340.3	2640
ENSG00000250706	AC079340.1	32188
ENSG00000251377	AC079340.2	18883
ENSG00000243417	AC023424.2	1087
ENSG00000268471	MIR4453HG	2999
ENSG00000283792	MIR4453	88
ENSG00000270302	AC080078.1	1700
ENSG00000270883	AC080078.2	462
ENSG00000109670	FBXW7	215548
ENSG00000270751	FBXW7-AS1	443
ENSG00000287555	AC023424.3	65513
ENSG00000264678	MIR3140	89
ENSG00000240669	AC023424.1	458
ENSG00000170006	TMEM154	61384
ENSG00000248571	AC106882.1	3739
ENSG00000170390	DCLK2	178993
ENSG00000238721	RNU7-194P	62
ENSG00000198589	LRBA	751292
ENSG00000248521	AC092612.1	997
ENSG00000249690	AC110813.1	2456
ENSG00000181541	MAB21L2	2542
ENSG00000183432	ZBTB8OSP1	497
ENSG00000252451	RNA5SP168	111
ENSG00000235606	AK4P6	527
ENSG00000145425	RPS3A	5018
ENSG00000201264	SNORD73B	71
ENSG00000109686	SH3D19	222881
ENSG00000208797	SNORD73A	64
ENSG00000270681	AC095055.1	1112
ENSG00000249012	AC104819.1	3346
ENSG00000189099	PRSS48	14282
ENSG00000250350	AC104819.2	162
ENSG00000252544	RNU6-1282P	95
ENSG00000270265	AC104819.3	19449
ENSG00000251611	FAM160A1-DT	1284
ENSG00000164142	FAM160A1	261327
ENSG00000253019	RN7SKP35	150
ENSG00000059691	GATB	90503
ENSG00000251455	AC092611.1	3410
ENSG00000231841	FAM192BP	761
ENSG00000169989	TIGD4	10376
ENSG00000164144	ARFIP1	138526
ENSG00000250980	AC113155.1	768
ENSG00000287642	AC093599.2	2245
ENSG00000137460	FHDC1	43344
ENSG00000137462	TLR2	21632
ENSG00000145428	RNF175	50110
ENSG00000249309	AC020703.1	7395
ENSG00000145423	SFRP2	8492
ENSG00000109654	TRIM2	186975
ENSG00000252030	RNU6-1196P	93
ENSG00000201786	Y_RNA	101
ENSG00000213406	ANXA2P1	925
ENSG00000121211	MND1	70469
ENSG00000243883	RN7SL419P	286
ENSG00000121210	TMEM131L	170365
ENSG00000287216	AC106865.2	21997
ENSG00000250771	AC106865.1	41012
ENSG00000248208	WDR45P1	1081
ENSG00000121207	LRAT	126175
ENSG00000249074	NDUFB2P1	294
ENSG00000249041	AC009567.1	27117
ENSG00000249692	AC009567.2	348
ENSG00000151962	RBM46	47600
ENSG00000222582	RNU2-66P	160
ENSG00000252604	RNU2-44P	193
ENSG00000280241	AC079298.3	351782
ENSG00000197410	DCHS2	260057
ENSG00000278981	AC079298.1	1618
ENSG00000280005	AC079298.2	458
ENSG00000249200	AC110775.1	461
ENSG00000250609	AC110753.1	1320
ENSG00000171566	PLRG1	15395
ENSG00000200350	RNU6-1285P	104
ENSG00000248611	AC107385.1	777
ENSG00000171564	FGB	8130
ENSG00000164116	GUCY1A1	65638
ENSG00000260244	AC104083.1	2614
ENSG00000250910	AC097467.3	207978
ENSG00000250538	AC104407.1	2498
ENSG00000185149	NPY2R	8442
ENSG00000249924	AC097467.1	974
ENSG00000164114	MAP9	34312
ENSG00000250205	YWHAEP4	197
ENSG00000061918	GUCY1B1	48782
ENSG00000256394	ASIC5	36548
ENSG00000151790	TDO2	65668
ENSG00000256043	CTSO	29748
ENSG00000109738	GLRB	95965
ENSG00000145431	PDGFC	211345
ENSG00000248629	AC092608.1	877
ENSG00000280284	AC092608.3	385
ENSG00000278880	AC092608.2	217
ENSG00000120251	GRIA2	161893
ENSG00000249819	AC112240.1	393
